capture_date,last_update,confirmed,deaths,recovered,active,incident_rate,case_fatality_ratio,uid
2021-04-15,2021-04-15 04:20:54,10202,106,8591,1505,1032.5890028562694,1.0390119584395217,262
2021-04-15,2021-04-15 04:20:54,165,0,159,6,229.19531608117683,0.0,212
2021-04-15,2021-04-15 04:20:54,259260,3402,217286,38572,2389.9547783608705,1.3121962508678546,214
2021-04-15,2021-04-15 04:20:54,350539,17400,298604,34535,1986.8378841312106,4.963784343539521,218
2021-04-15,2021-04-15 04:20:54,212961,12570,161031,39360,208.10303647347214,5.902489188161213,818
2021-04-15,2021-04-15 04:20:54,66956,2060,63345,1551,1032.2837667226165,3.076647350498835,222
2021-04-15,2021-04-15 04:20:54,7259,106,6885,268,517.3968360317466,1.4602562336409974,226
2021-04-15,2021-04-15 04:20:54,3479,10,3273,196,98.09873430356808,0.2874389192296637,232
2021-04-15,2021-04-15 04:20:54,115629,1057,97889,16683,8716.592576622323,0.914130538186787,233
2021-04-15,2021-04-15 04:20:54,18407,670,17682,55,1586.5860343882416,3.6399195958059436,748
2021-04-15,2021-04-15 04:20:54,234405,3252,174591,56562,203.89500212428138,1.3873424201702182,231
2021-04-15,2021-04-15 04:20:54,68,2,64,2,7.585526814837292,2.9411764705882355,242
2021-04-15,2021-04-15 04:20:54,82964,881,46000,36083,1497.3510653312442,1.06190636902753,246
2021-04-15,2021-04-15 04:20:54,17706,94,9995,7617,5928.043872747605,0.5308934824353326,254
2021-04-15,2021-04-15 04:20:54,18680,141,4842,13697,6649.958704753225,0.7548179871520343,258
2021-04-15,2021-04-15 04:20:54,12304,189,2242,9873,3075.0236799816053,1.5360858257477243,312
2021-04-15,2021-04-15 04:20:54,8887,59,98,8730,2368.193143511918,0.6638910768538314,474
2021-04-15,2021-04-15 04:20:54,19706,167,2964,16575,7223.262821053249,0.847457627118644,175
2021-04-15,2021-04-15 04:20:54,121,0,58,63,42.38312241016353,0.0,540
2021-04-15,2021-04-15 04:20:54,18425,135,16794,1496,2057.9510068043624,0.7327001356852103,638
2021-04-15,2021-04-15 04:20:54,907,1,462,444,9175.51846231664,0.11025358324145534,652
2021-04-15,2021-04-15 04:20:54,24,0,24,0,414.1501294219154,0.0,666
2021-04-15,2021-04-15 04:20:54,1693,12,1399,282,4379.316588633953,0.7088009450679268,663
2021-04-15,2021-04-15 04:20:54,437,5,44,388,2858.264111452678,1.1441647597254005,876
2021-04-15,2021-04-15 04:20:54,5111882,99133,283059,4729690,7831.479942430553,1.9392662037191,250
2021-04-15,2021-04-15 04:20:54,21566,132,18219,3215,968.9413980504356,0.6120745618102569,266
2021-04-15,2021-04-15 04:20:54,5682,170,5165,347,235.1175008193113,2.99190425906371,270
2021-04-15,2021-04-15 04:20:54,291214,3901,278683,8630,7300.105911623331,1.339564718729182,268
2021-04-15,2021-04-15 04:20:54,396572,9007,354200,33365,3582.5540246368123,2.2712143066076274,27601
2021-04-15,2021-04-15 04:20:54,541913,13658,485200,43055,4144.1046268403215,2.520330754198552,27602
2021-04-15,2021-04-15 04:20:54,156006,3134,143300,9572,4280.204322510869,2.0088970937015245,27603
2021-04-15,2021-04-15 04:20:54,94981,3430,84200,7351,3781.21570099649,3.6112485655025743,27604
2021-04-15,2021-04-15 04:20:54,22923,428,20690,1805,3356.2913441856786,1.8671203594642936,27605
2021-04-15,2021-04-15 04:20:54,66674,1423,57600,7651,3621.266590592224,2.1342652308246093,27606
2021-04-15,2021-04-15 04:20:54,238586,6565,210700,21321,3807.7445386541467,2.751628343658052,27607
2021-04-15,2021-04-15 04:20:54,35100,919,30510,3671,2180.564399645891,2.618233618233618,27608
2021-04-15,2021-04-15 04:20:54,215705,5104,195400,15201,2702.241217230604,2.3661945712894927,27609
2021-04-15,2021-04-15 04:20:54,663755,14761,593600,55394,3701.3768906783503,2.2238627204314847,27610
